Montage,Current_Ch1_mA,Current_Ch2_mA,TImax_ROI,TImean_ROI,TImean_GM,Focality,Composite_Index
FC5_P7 <> FC3_CP3_I1-1.8mA_I2-0.2mA,1.8,0.2,0.0608,0.0362,0.0250,1.4476,0.0523
FC5_P7 <> FC3_CP3_I1-1.5mA_I2-0.5mA,1.5,0.5,0.1216,0.0723,0.0499,1.4494,0.1048
FC5_P7 <> FC3_CP3_I1-1.2mA_I2-0.8mA,1.2,0.8,0.1824,0.1085,0.0739,1.4681,0.1592
FC5_P7 <> FC3_CP3_I1-1.0mA_I2-1.0mA,1.0,1.0,0.2432,0.1445,0.0896,1.6133,0.2332
FC5_P7 <> FC3_CP3_I1-0.8mA_I2-1.2mA,0.8,1.2,0.3040,0.1636,0.0866,1.8888,0.3089
FC5_P7 <> FC3_CP3_I1-0.5mA_I2-1.5mA,0.5,1.5,0.2234,0.1139,0.0633,1.7986,0.2049
FC5_P7 <> FC3_CP3_I1-0.2mA_I2-1.8mA,0.2,1.8,0.1117,0.0570,0.0320,1.7800,0.1014
FC5_P7 <> FC3_PO7_I1-1.8mA_I2-0.2mA,1.8,0.2,0.1018,0.0530,0.0410,1.2920,0.0685
FC5_P7 <> FC3_PO7_I1-1.5mA_I2-0.5mA,1.5,0.5,0.2036,0.1060,0.0820,1.2922,0.1370
FC5_P7 <> FC3_PO7_I1-1.2mA_I2-0.8mA,1.2,0.8,0.3054,0.1590,0.1221,1.3020,0.2070
FC5_P7 <> FC3_PO7_I1-1.0mA_I2-1.0mA,1.0,1.0,0.4072,0.2110,0.1251,1.6864,0.3559
FC5_P7 <> FC3_PO7_I1-0.8mA_I2-1.2mA,0.8,1.2,0.3351,0.1709,0.0960,1.7795,0.3041
FC5_P7 <> FC3_PO7_I1-0.5mA_I2-1.5mA,0.5,1.5,0.2234,0.1139,0.0640,1.7790,0.2026
FC5_P7 <> FC3_PO7_I1-0.2mA_I2-1.8mA,0.2,1.8,0.1117,0.0570,0.0320,1.7789,0.1013
FC5_P7 <> FC3_P9_I1-1.8mA_I2-0.2mA,1.8,0.2,0.1045,0.0553,0.0423,1.3065,0.0722
FC5_P7 <> FC3_P9_I1-1.5mA_I2-0.5mA,1.5,0.5,0.2090,0.1106,0.0846,1.3080,0.1447
FC5_P7 <> FC3_P9_I1-1.2mA_I2-0.8mA,1.2,0.8,0.3135,0.1658,0.1214,1.3664,0.2266
FC5_P7 <> FC3_P9_I1-1.0mA_I2-1.0mA,1.0,1.0,0.4179,0.2145,0.1233,1.7397,0.3731
FC5_P7 <> FC3_P9_I1-0.8mA_I2-1.2mA,0.8,1.2,0.3351,0.1708,0.0958,1.7829,0.3046
FC5_P7 <> FC3_P9_I1-0.5mA_I2-1.5mA,0.5,1.5,0.2234,0.1139,0.0640,1.7795,0.2027
FC5_P7 <> FC3_P9_I1-0.2mA_I2-1.8mA,0.2,1.8,0.1117,0.0570,0.0320,1.7789,0.1013
FC5_P7 <> FC3_TP9_I1-1.8mA_I2-0.2mA,1.8,0.2,0.0887,0.0511,0.0364,1.4013,0.0716
FC5_P7 <> FC3_TP9_I1-1.5mA_I2-0.5mA,1.5,0.5,0.1775,0.1021,0.0728,1.4026,0.1432
FC5_P7 <> FC3_TP9_I1-1.2mA_I2-0.8mA,1.2,0.8,0.2662,0.1530,0.1071,1.4290,0.2187
FC5_P7 <> FC3_TP9_I1-1.0mA_I2-1.0mA,1.0,1.0,0.3550,0.1963,0.1175,1.6711,0.3281
FC5_P7 <> FC3_TP9_I1-0.8mA_I2-1.2mA,0.8,1.2,0.3351,0.1707,0.0951,1.7964,0.3067
FC5_P7 <> FC3_TP9_I1-0.5mA_I2-1.5mA,0.5,1.5,0.2234,0.1139,0.0639,1.7813,0.2029
FC5_P7 <> FC3_TP9_I1-0.2mA_I2-1.8mA,0.2,1.8,0.1117,0.0570,0.0320,1.7791,0.1013
FC5_P7 <> AF7_P3_I1-1.8mA_I2-0.2mA,1.8,0.2,0.1010,0.0611,0.0441,1.3877,0.0848
FC5_P7 <> AF7_P3_I1-1.5mA_I2-0.5mA,1.5,0.5,0.2020,0.1222,0.0870,1.4046,0.1716
FC5_P7 <> AF7_P3_I1-1.2mA_I2-0.8mA,1.2,0.8,0.2883,0.1811,0.1183,1.5305,0.2771
FC5_P7 <> AF7_P3_I1-1.0mA_I2-1.0mA,1.0,1.0,0.3320,0.2058,0.1194,1.7241,0.3548
FC5_P7 <> AF7_P3_I1-0.8mA_I2-1.2mA,0.8,1.2,0.3351,0.1705,0.0952,1.7914,0.3054
FC5_P7 <> AF7_P3_I1-0.5mA_I2-1.5mA,0.5,1.5,0.2234,0.1139,0.0640,1.7809,0.2028
FC5_P7 <> AF7_P3_I1-0.2mA_I2-1.8mA,0.2,1.8,0.1117,0.0570,0.0320,1.7790,0.1013
FC5_P7 <> AF7_CP3_I1-1.8mA_I2-0.2mA,1.8,0.2,0.1036,0.0588,0.0398,1.4750,0.0867
FC5_P7 <> AF7_CP3_I1-1.5mA_I2-0.5mA,1.5,0.5,0.2072,0.1173,0.0780,1.5042,0.1764
FC5_P7 <> AF7_CP3_I1-1.2mA_I2-0.8mA,1.2,0.8,0.2824,0.1713,0.1055,1.6242,0.2783
FC5_P7 <> AF7_CP3_I1-1.0mA_I2-1.0mA,1.0,1.0,0.2757,0.1921,0.1099,1.7482,0.3357
FC5_P7 <> AF7_CP3_I1-0.8mA_I2-1.2mA,0.8,1.2,0.3088,0.1660,0.0923,1.7983,0.2986
FC5_P7 <> AF7_CP3_I1-0.5mA_I2-1.5mA,0.5,1.5,0.2234,0.1138,0.0636,1.7892,0.2036
FC5_P7 <> AF7_CP3_I1-0.2mA_I2-1.8mA,0.2,1.8,0.1117,0.0570,0.0320,1.7798,0.1014
FC5_P7 <> AF7_PO7_I1-1.8mA_I2-0.2mA,1.8,0.2,0.0937,0.0596,0.0427,1.3956,0.0832
FC5_P7 <> AF7_PO7_I1-1.5mA_I2-0.5mA,1.5,0.5,0.1874,0.1192,0.0851,1.4010,0.1670
FC5_P7 <> AF7_PO7_I1-1.2mA_I2-0.8mA,1.2,0.8,0.2812,0.1781,0.1224,1.4556,0.2593
FC5_P7 <> AF7_PO7_I1-1.0mA_I2-1.0mA,1.0,1.0,0.3749,0.2119,0.1235,1.7153,0.3635
FC5_P7 <> AF7_PO7_I1-0.8mA_I2-1.2mA,0.8,1.2,0.3351,0.1708,0.0959,1.7810,0.3041
FC5_P7 <> AF7_PO7_I1-0.5mA_I2-1.5mA,0.5,1.5,0.2234,0.1139,0.0640,1.7789,0.2026
FC5_P7 <> AF7_PO7_I1-0.2mA_I2-1.8mA,0.2,1.8,0.1117,0.0570,0.0320,1.7789,0.1013
FC5_P7 <> AF7_P9_I1-1.8mA_I2-0.2mA,1.8,0.2,0.0924,0.0549,0.0378,1.4504,0.0796
FC5_P7 <> AF7_P9_I1-1.5mA_I2-0.5mA,1.5,0.5,0.1849,0.1097,0.0754,1.4550,0.1596
FC5_P7 <> AF7_P9_I1-1.2mA_I2-0.8mA,1.2,0.8,0.2773,0.1644,0.1091,1.5073,0.2478
FC5_P7 <> AF7_P9_I1-1.0mA_I2-1.0mA,1.0,1.0,0.3698,0.2072,0.1157,1.7910,0.3710
FC5_P7 <> AF7_P9_I1-0.8mA_I2-1.2mA,0.8,1.2,0.3351,0.1708,0.0954,1.7904,0.3058
FC5_P7 <> AF7_P9_I1-0.5mA_I2-1.5mA,0.5,1.5,0.2234,0.1139,0.0640,1.7794,0.2027
FC5_P7 <> AF7_P9_I1-0.2mA_I2-1.8mA,0.2,1.8,0.1117,0.0570,0.0320,1.7789,0.1013
FC5_P7 <> AF7_TP9_I1-1.8mA_I2-0.2mA,1.8,0.2,0.0797,0.0491,0.0312,1.5765,0.0774
FC5_P7 <> AF7_TP9_I1-1.5mA_I2-0.5mA,1.5,0.5,0.1594,0.0982,0.0621,1.5818,0.1554
FC5_P7 <> AF7_TP9_I1-1.2mA_I2-0.8mA,1.2,0.8,0.2391,0.1471,0.0908,1.6207,0.2385
FC5_P7 <> AF7_TP9_I1-1.0mA_I2-1.0mA,1.0,1.0,0.3046,0.1878,0.1061,1.7704,0.3325
FC5_P7 <> AF7_TP9_I1-0.8mA_I2-1.2mA,0.8,1.2,0.3351,0.1703,0.0931,1.8281,0.3113
FC5_P7 <> AF7_TP9_I1-0.5mA_I2-1.5mA,0.5,1.5,0.2234,0.1139,0.0639,1.7819,0.2030
FC5_P7 <> AF7_TP9_I1-0.2mA_I2-1.8mA,0.2,1.8,0.1117,0.0570,0.0320,1.7791,0.1013
FC5_P7 <> F9_P3_I1-1.8mA_I2-0.2mA,1.8,0.2,0.0898,0.0527,0.0411,1.2840,0.0677
FC5_P7 <> F9_P3_I1-1.5mA_I2-0.5mA,1.5,0.5,0.1797,0.1052,0.0802,1.3117,0.1381
FC5_P7 <> F9_P3_I1-1.2mA_I2-0.8mA,1.2,0.8,0.2456,0.1549,0.1093,1.4173,0.2195
FC5_P7 <> F9_P3_I1-1.0mA_I2-1.0mA,1.0,1.0,0.2712,0.1811,0.1139,1.5905,0.2880
FC5_P7 <> F9_P3_I1-0.8mA_I2-1.2mA,0.8,1.2,0.2892,0.1631,0.0935,1.7434,0.2843
FC5_P7 <> F9_P3_I1-0.5mA_I2-1.5mA,0.5,1.5,0.2234,0.1137,0.0637,1.7834,0.2027
FC5_P7 <> F9_P3_I1-0.2mA_I2-1.8mA,0.2,1.8,0.1117,0.0570,0.0320,1.7795,0.1013
FC5_P7 <> F9_CP3_I1-1.8mA_I2-0.2mA,1.8,0.2,0.0949,0.0538,0.0395,1.3639,0.0734
FC5_P7 <> F9_CP3_I1-1.5mA_I2-0.5mA,1.5,0.5,0.1897,0.1067,0.0764,1.3963,0.1490
FC5_P7 <> F9_CP3_I1-1.2mA_I2-0.8mA,1.2,0.8,0.2471,0.1520,0.1029,1.4778,0.2246
FC5_P7 <> F9_CP3_I1-1.0mA_I2-1.0mA,1.0,1.0,0.2552,0.1708,0.1080,1.5817,0.2701
FC5_P7 <> F9_CP3_I1-0.8mA_I2-1.2mA,0.8,1.2,0.2475,0.1538,0.0914,1.6827,0.2588
FC5_P7 <> F9_CP3_I1-0.5mA_I2-1.5mA,0.5,1.5,0.2057,0.1112,0.0634,1.7528,0.1948
FC5_P7 <> F9_CP3_I1-0.2mA_I2-1.8mA,0.2,1.8,0.1117,0.0568,0.0320,1.7765,0.1010
FC5_P7 <> F9_PO7_I1-1.8mA_I2-0.2mA,1.8,0.2,0.0740,0.0470,0.0348,1.3520,0.0636
FC5_P7 <> F9_PO7_I1-1.5mA_I2-0.5mA,1.5,0.5,0.1479,0.0941,0.0695,1.3541,0.1274
FC5_P7 <> F9_PO7_I1-1.2mA_I2-0.8mA,1.2,0.8,0.2203,0.1407,0.1019,1.3807,0.1943
FC5_P7 <> F9_PO7_I1-1.0mA_I2-1.0mA,1.0,1.0,0.2701,0.1781,0.1140,1.5612,0.2780
FC5_P7 <> F9_PO7_I1-0.8mA_I2-1.2mA,0.8,1.2,0.3205,0.1672,0.0944,1.7718,0.2963
FC5_P7 <> F9_PO7_I1-0.5mA_I2-1.5mA,0.5,1.5,0.2234,0.1139,0.0639,1.7824,0.2030
FC5_P7 <> F9_PO7_I1-0.2mA_I2-1.8mA,0.2,1.8,0.1117,0.0570,0.0320,1.7792,0.1013
FC5_P7 <> F9_P9_I1-1.8mA_I2-0.2mA,1.8,0.2,0.0623,0.0396,0.0265,1.4961,0.0593
FC5_P7 <> F9_P9_I1-1.5mA_I2-0.5mA,1.5,0.5,0.1246,0.0792,0.0529,1.4973,0.1186
FC5_P7 <> F9_P9_I1-1.2mA_I2-0.8mA,1.2,0.8,0.1869,0.1188,0.0787,1.5100,0.1794
FC5_P7 <> F9_P9_I1-1.0mA_I2-1.0mA,1.0,1.0,0.2492,0.1573,0.0969,1.6234,0.2553
FC5_P7 <> F9_P9_I1-0.8mA_I2-1.2mA,0.8,1.2,0.3115,0.1652,0.0905,1.8261,0.3016
FC5_P7 <> F9_P9_I1-0.5mA_I2-1.5mA,0.5,1.5,0.2234,0.1139,0.0638,1.7836,0.2031
FC5_P7 <> F9_P9_I1-0.2mA_I2-1.8mA,0.2,1.8,0.1117,0.0570,0.0320,1.7791,0.1013
FC5_P7 <> F9_TP9_I1-1.8mA_I2-0.2mA,1.8,0.2,0.0525,0.0326,0.0196,1.6593,0.0540
FC5_P7 <> F9_TP9_I1-1.5mA_I2-0.5mA,1.5,0.5,0.1050,0.0651,0.0392,1.6606,0.1081
FC5_P7 <> F9_TP9_I1-1.2mA_I2-0.8mA,1.2,0.8,0.1575,0.0976,0.0586,1.6661,0.1626
FC5_P7 <> F9_TP9_I1-1.0mA_I2-1.0mA,1.0,1.0,0.2050,0.1294,0.0764,1.6926,0.2190
FC5_P7 <> F9_TP9_I1-0.8mA_I2-1.2mA,0.8,1.2,0.2276,0.1454,0.0827,1.7582,0.2557
FC5_P7 <> F9_TP9_I1-0.5mA_I2-1.5mA,0.5,1.5,0.2234,0.1135,0.0633,1.7938,0.2035
FC5_P7 <> F9_TP9_I1-0.2mA_I2-1.8mA,0.2,1.8,0.1117,0.0570,0.0320,1.7795,0.1013
FC5_P7 <> FT9_P3_I1-1.8mA_I2-0.2mA,1.8,0.2,0.0826,0.0493,0.0395,1.2478,0.0615
FC5_P7 <> FT9_P3_I1-1.5mA_I2-0.5mA,1.5,0.5,0.1651,0.0984,0.0770,1.2771,0.1256
FC5_P7 <> FT9_P3_I1-1.2mA_I2-0.8mA,1.2,0.8,0.2292,0.1450,0.1051,1.3792,0.2000
FC5_P7 <> FT9_P3_I1-1.0mA_I2-1.0mA,1.0,1.0,0.2615,0.1727,0.1110,1.5556,0.2686
FC5_P7 <> FT9_P3_I1-0.8mA_I2-1.2mA,0.8,1.2,0.2801,0.1603,0.0926,1.7306,0.2774
FC5_P7 <> FT9_P3_I1-0.5mA_I2-1.5mA,0.5,1.5,0.2232,0.1135,0.0636,1.7843,0.2025
FC5_P7 <> FT9_P3_I1-0.2mA_I2-1.8mA,0.2,1.8,0.1117,0.0569,0.0320,1.7797,0.1014
FC5_P7 <> FT9_CP3_I1-1.8mA_I2-0.2mA,1.8,0.2,0.0878,0.0506,0.0384,1.3172,0.0667
FC5_P7 <> FT9_CP3_I1-1.5mA_I2-0.5mA,1.5,0.5,0.1757,0.1003,0.0745,1.3463,0.1350
FC5_P7 <> FT9_CP3_I1-1.2mA_I2-0.8mA,1.2,0.8,0.2320,0.1429,0.1006,1.4207,0.2030
FC5_P7 <> FT9_CP3_I1-1.0mA_I2-1.0mA,1.0,1.0,0.2430,0.1629,0.1064,1.5306,0.2493
FC5_P7 <> FT9_CP3_I1-0.8mA_I2-1.2mA,0.8,1.2,0.2387,0.1500,0.0908,1.6519,0.2478
FC5_P7 <> FT9_CP3_I1-0.5mA_I2-1.5mA,0.5,1.5,0.1979,0.1102,0.0633,1.7408,0.1919
FC5_P7 <> FT9_CP3_I1-0.2mA_I2-1.8mA,0.2,1.8,0.1110,0.0568,0.0320,1.7747,0.1007
FC5_P7 <> FT9_PO7_I1-1.8mA_I2-0.2mA,1.8,0.2,0.0670,0.0431,0.0322,1.3381,0.0576
FC5_P7 <> FT9_PO7_I1-1.5mA_I2-0.5mA,1.5,0.5,0.1340,0.0861,0.0643,1.3400,0.1154
FC5_P7 <> FT9_PO7_I1-1.2mA_I2-0.8mA,1.2,0.8,0.1985,0.1290,0.0945,1.3649,0.1761
FC5_P7 <> FT9_PO7_I1-1.0mA_I2-1.0mA,1.0,1.0,0.2614,0.1664,0.1086,1.5320,0.2549
FC5_P7 <> FT9_PO7_I1-0.8mA_I2-1.2mA,0.8,1.2,0.3034,0.1648,0.0931,1.7704,0.2917
FC5_P7 <> FT9_PO7_I1-0.5mA_I2-1.5mA,0.5,1.5,0.2234,0.1139,0.0637,1.7862,0.2034
FC5_P7 <> FT9_PO7_I1-0.2mA_I2-1.8mA,0.2,1.8,0.1117,0.0570,0.0320,1.7795,0.1013
FC5_P7 <> FT9_P9_I1-1.8mA_I2-0.2mA,1.8,0.2,0.0579,0.0354,0.0232,1.5250,0.0540
FC5_P7 <> FT9_P9_I1-1.5mA_I2-0.5mA,1.5,0.5,0.1158,0.0708,0.0464,1.5255,0.1080
FC5_P7 <> FT9_P9_I1-1.2mA_I2-0.8mA,1.2,0.8,0.1737,0.1062,0.0692,1.5349,0.1630
FC5_P7 <> FT9_P9_I1-1.0mA_I2-1.0mA,1.0,1.0,0.2316,0.1413,0.0867,1.6290,0.2301
FC5_P7 <> FT9_P9_I1-0.8mA_I2-1.2mA,0.8,1.2,0.2891,0.1598,0.0866,1.8447,0.2948
FC5_P7 <> FT9_P9_I1-0.5mA_I2-1.5mA,0.5,1.5,0.2234,0.1139,0.0636,1.7907,0.2039
FC5_P7 <> FT9_P9_I1-0.2mA_I2-1.8mA,0.2,1.8,0.1117,0.0570,0.0320,1.7796,0.1014
FC5_P7 <> FT9_TP9_I1-1.8mA_I2-0.2mA,1.8,0.2,0.0423,0.0268,0.0159,1.6871,0.0453
FC5_P7 <> FT9_TP9_I1-1.5mA_I2-0.5mA,1.5,0.5,0.0846,0.0536,0.0318,1.6874,0.0905
FC5_P7 <> FT9_TP9_I1-1.2mA_I2-0.8mA,1.2,0.8,0.1269,0.0805,0.0476,1.6892,0.1359
FC5_P7 <> FT9_TP9_I1-1.0mA_I2-1.0mA,1.0,1.0,0.1672,0.1071,0.0629,1.7030,0.1824
FC5_P7 <> FT9_TP9_I1-0.8mA_I2-1.2mA,0.8,1.2,0.1974,0.1294,0.0730,1.7735,0.2295
FC5_P7 <> FT9_TP9_I1-0.5mA_I2-1.5mA,0.5,1.5,0.2207,0.1124,0.0619,1.8159,0.2042
FC5_P7 <> FT9_TP9_I1-0.2mA_I2-1.8mA,0.2,1.8,0.1117,0.0569,0.0320,1.7803,0.1014
FC5_TP7 <> F3_P3_I1-1.8mA_I2-0.2mA,1.8,0.2,0.0866,0.0537,0.0415,1.2936,0.0695
FC5_TP7 <> F3_P3_I1-1.5mA_I2-0.5mA,1.5,0.5,0.1732,0.1075,0.0816,1.3168,0.1415
FC5_TP7 <> F3_P3_I1-1.2mA_I2-0.8mA,1.2,0.8,0.2598,0.1610,0.1019,1.5808,0.2545
FC5_TP7 <> F3_P3_I1-1.0mA_I2-1.0mA,1.0,1.0,0.3342,0.1870,0.0958,1.9526,0.3651
FC5_TP7 <> F3_P3_I1-0.8mA_I2-1.2mA,0.8,1.2,0.2655,0.1422,0.0743,1.9120,0.2718
FC5_TP7 <> F3_P3_I1-0.5mA_I2-1.5mA,0.5,1.5,0.1770,0.0948,0.0497,1.9068,0.1807
FC5_TP7 <> F3_P3_I1-0.2mA_I2-1.8mA,0.2,1.8,0.0885,0.0474,0.0249,1.9062,0.0903
FC5_TP7 <> F3_CP3_I1-1.8mA_I2-0.2mA,1.8,0.2,0.0830,0.0480,0.0347,1.3832,0.0663
FC5_TP7 <> F3_CP3_I1-1.5mA_I2-0.5mA,1.5,0.5,0.1659,0.0959,0.0682,1.4060,0.1349
FC5_TP7 <> F3_CP3_I1-1.2mA_I2-0.8mA,1.2,0.8,0.2489,0.1435,0.0899,1.5962,0.2290
FC5_TP7 <> F3_CP3_I1-1.0mA_I2-1.0mA,1.0,1.0,0.2683,0.1718,0.0897,1.9157,0.3291
FC5_TP7 <> F3_CP3_I1-0.8mA_I2-1.2mA,0.8,1.2,0.2655,0.1421,0.0733,1.9370,0.2751
FC5_TP7 <> F3_CP3_I1-0.5mA_I2-1.5mA,0.5,1.5,0.1770,0.0948,0.0496,1.9110,0.1811
FC5_TP7 <> F3_CP3_I1-0.2mA_I2-1.8mA,0.2,1.8,0.0885,0.0474,0.0249,1.9066,0.0903
FC5_TP7 <> F3_PO7_I1-1.8mA_I2-0.2mA,1.8,0.2,0.0984,0.0574,0.0456,1.2600,0.0723
FC5_TP7 <> F3_PO7_I1-1.5mA_I2-0.5mA,1.5,0.5,0.1969,0.1148,0.0903,1.2717,0.1460
FC5_TP7 <> F3_PO7_I1-1.2mA_I2-0.8mA,1.2,0.8,0.2953,0.1722,0.1096,1.5712,0.2706
FC5_TP7 <> F3_PO7_I1-1.0mA_I2-1.0mA,1.0,1.0,0.3541,0.1895,0.0977,1.9400,0.3676
FC5_TP7 <> F3_PO7_I1-0.8mA_I2-1.2mA,0.8,1.2,0.2655,0.1422,0.0745,1.9072,0.2711
FC5_TP7 <> F3_PO7_I1-0.5mA_I2-1.5mA,0.5,1.5,0.1770,0.0948,0.0497,1.9064,0.1807
FC5_TP7 <> F3_PO7_I1-0.2mA_I2-1.8mA,0.2,1.8,0.0885,0.0474,0.0249,1.9062,0.0903
FC5_TP7 <> F3_P9_I1-1.8mA_I2-0.2mA,1.8,0.2,0.0998,0.0569,0.0444,1.2803,0.0728
FC5_TP7 <> F3_P9_I1-1.5mA_I2-0.5mA,1.5,0.5,0.1995,0.1137,0.0879,1.2942,0.1471
FC5_TP7 <> F3_P9_I1-1.2mA_I2-0.8mA,1.2,0.8,0.2993,0.1705,0.1067,1.5985,0.2726
FC5_TP7 <> F3_P9_I1-1.0mA_I2-1.0mA,1.0,1.0,0.3541,0.1895,0.0967,1.9590,0.3713
FC5_TP7 <> F3_P9_I1-0.8mA_I2-1.2mA,0.8,1.2,0.2655,0.1422,0.0745,1.9078,0.2712
FC5_TP7 <> F3_P9_I1-0.5mA_I2-1.5mA,0.5,1.5,0.1770,0.0948,0.0497,1.9064,0.1807
FC5_TP7 <> F3_P9_I1-0.2mA_I2-1.8mA,0.2,1.8,0.0885,0.0474,0.0249,1.9062,0.0903
FC5_TP7 <> F3_TP9_I1-1.8mA_I2-0.2mA,1.8,0.2,0.0845,0.0529,0.0384,1.3803,0.0731
FC5_TP7 <> F3_TP9_I1-1.5mA_I2-0.5mA,1.5,0.5,0.1690,0.1059,0.0764,1.3853,0.1467
FC5_TP7 <> F3_TP9_I1-1.2mA_I2-0.8mA,1.2,0.8,0.2536,0.1587,0.1013,1.5674,0.2488
FC5_TP7 <> F3_TP9_I1-1.0mA_I2-1.0mA,1.0,1.0,0.3381,0.1863,0.0956,1.9486,0.3630
FC5_TP7 <> F3_TP9_I1-0.8mA_I2-1.2mA,0.8,1.2,0.2655,0.1422,0.0744,1.9098,0.2715
FC5_TP7 <> F3_TP9_I1-0.5mA_I2-1.5mA,0.5,1.5,0.1770,0.0948,0.0497,1.9067,0.1807
FC5_TP7 <> F3_TP9_I1-0.2mA_I2-1.8mA,0.2,1.8,0.0885,0.0474,0.0249,1.9062,0.0903
FC5_TP7 <> FC3_P3_I1-1.8mA_I2-0.2mA,1.8,0.2,0.0848,0.0456,0.0338,1.3484,0.0614
FC5_TP7 <> FC3_P3_I1-1.5mA_I2-0.5mA,1.5,0.5,0.1695,0.0911,0.0671,1.3588,0.1238
FC5_TP7 <> FC3_P3_I1-1.2mA_I2-0.8mA,1.2,0.8,0.2543,0.1367,0.0917,1.4913,0.2039
FC5_TP7 <> FC3_P3_I1-1.0mA_I2-1.0mA,1.0,1.0,0.3390,0.1821,0.0930,1.9581,0.3566
FC5_TP7 <> FC3_P3_I1-0.8mA_I2-1.2mA,0.8,1.2,0.2655,0.1422,0.0743,1.9129,0.2719
FC5_TP7 <> FC3_P3_I1-0.5mA_I2-1.5mA,0.5,1.5,0.1770,0.0948,0.0497,1.9068,0.1807
FC5_TP7 <> FC3_P3_I1-0.2mA_I2-1.8mA,0.2,1.8,0.0885,0.0474,0.0249,1.9062,0.0903
FC5_TP7 <> FC3_CP3_I1-1.8mA_I2-0.2mA,1.8,0.2,0.0608,0.0362,0.0250,1.4478,0.0523
FC5_TP7 <> FC3_CP3_I1-1.5mA_I2-0.5mA,1.5,0.5,0.1216,0.0723,0.0498,1.4532,0.1051
FC5_TP7 <> FC3_CP3_I1-1.2mA_I2-0.8mA,1.2,0.8,0.1824,0.1085,0.0717,1.5137,0.1642
FC5_TP7 <> FC3_CP3_I1-1.0mA_I2-1.0mA,1.0,1.0,0.2432,0.1446,0.0807,1.7905,0.2589
FC5_TP7 <> FC3_CP3_I1-0.8mA_I2-1.2mA,0.8,1.2,0.2655,0.1421,0.0718,1.9800,0.2814
FC5_TP7 <> FC3_CP3_I1-0.5mA_I2-1.5mA,0.5,1.5,0.1770,0.0948,0.0495,1.9132,0.1813
FC5_TP7 <> FC3_CP3_I1-0.2mA_I2-1.8mA,0.2,1.8,0.0885,0.0474,0.0249,1.9067,0.0903
FC5_TP7 <> FC3_PO7_I1-1.8mA_I2-0.2mA,1.8,0.2,0.1018,0.0530,0.0410,1.2927,0.0685
FC5_TP7 <> FC3_PO7_I1-1.5mA_I2-0.5mA,1.5,0.5,0.2036,0.1060,0.0814,1.3027,0.1381
FC5_TP7 <> FC3_PO7_I1-1.2mA_I2-0.8mA,1.2,0.8,0.3054,0.1590,0.1069,1.4876,0.2365
FC5_TP7 <> FC3_PO7_I1-1.0mA_I2-1.0mA,1.0,1.0,0.3541,0.1892,0.0975,1.9400,0.3670
FC5_TP7 <> FC3_PO7_I1-0.8mA_I2-1.2mA,0.8,1.2,0.2655,0.1422,0.0745,1.9073,0.2711
FC5_TP7 <> FC3_PO7_I1-0.5mA_I2-1.5mA,0.5,1.5,0.1770,0.0948,0.0497,1.9064,0.1807
FC5_TP7 <> FC3_PO7_I1-0.2mA_I2-1.8mA,0.2,1.8,0.0885,0.0474,0.0249,1.9062,0.0903
FC5_TP7 <> FC3_P9_I1-1.8mA_I2-0.2mA,1.8,0.2,0.1045,0.0553,0.0423,1.3070,0.0723
FC5_TP7 <> FC3_P9_I1-1.5mA_I2-0.5mA,1.5,0.5,0.2090,0.1106,0.0835,1.3244,0.1465
FC5_TP7 <> FC3_P9_I1-1.2mA_I2-0.8mA,1.2,0.8,0.3135,0.1658,0.1063,1.5595,0.2586
FC5_TP7 <> FC3_P9_I1-1.0mA_I2-1.0mA,1.0,1.0,0.3541,0.1883,0.0973,1.9346,0.3643
FC5_TP7 <> FC3_P9_I1-0.8mA_I2-1.2mA,0.8,1.2,0.2655,0.1422,0.0745,1.9083,0.2713
FC5_TP7 <> FC3_P9_I1-0.5mA_I2-1.5mA,0.5,1.5,0.1770,0.0948,0.0497,1.9065,0.1807
FC5_TP7 <> FC3_P9_I1-0.2mA_I2-1.8mA,0.2,1.8,0.0885,0.0474,0.0249,1.9062,0.0903
FC5_TP7 <> FC3_TP9_I1-1.8mA_I2-0.2mA,1.8,0.2,0.0887,0.0511,0.0364,1.4013,0.0716
FC5_TP7 <> FC3_TP9_I1-1.5mA_I2-0.5mA,1.5,0.5,0.1775,0.1021,0.0727,1.4050,0.1435
FC5_TP7 <> FC3_TP9_I1-1.2mA_I2-0.8mA,1.2,0.8,0.2662,0.1531,0.1002,1.5280,0.2339
FC5_TP7 <> FC3_TP9_I1-1.0mA_I2-1.0mA,1.0,1.0,0.3507,0.1852,0.0963,1.9231,0.3561
FC5_TP7 <> FC3_TP9_I1-0.8mA_I2-1.2mA,0.8,1.2,0.2655,0.1421,0.0743,1.9119,0.2718
FC5_TP7 <> FC3_TP9_I1-0.5mA_I2-1.5mA,0.5,1.5,0.1770,0.0948,0.0497,1.9069,0.1807
FC5_TP7 <> FC3_TP9_I1-0.2mA_I2-1.8mA,0.2,1.8,0.0885,0.0474,0.0249,1.9063,0.0903
FC5_TP7 <> AF7_P3_I1-1.8mA_I2-0.2mA,1.8,0.2,0.1010,0.0611,0.0440,1.3910,0.0850
FC5_TP7 <> AF7_P3_I1-1.5mA_I2-0.5mA,1.5,0.5,0.2020,0.1222,0.0842,1.4520,0.1774
FC5_TP7 <> AF7_P3_I1-1.2mA_I2-0.8mA,1.2,0.8,0.2881,0.1792,0.1033,1.7348,0.3109
